Reaction Coordinate,Energy (meV)
0.01080025,-1.49239550
0.01090825,-1.52217031
0.01101625,-1.55223476
0.01112426,-1.58258870
0.01123226,-1.61323201
0.01134026,-1.64416456
0.01144826,-1.67538622
0.01155627,-1.70689685
0.01166427,-1.73869633
0.01177227,-1.77078453
0.01188027,-1.80316130
0.01198828,-1.83582654
0.01209628,-1.86878009
0.01220428,-1.90202183
0.01231228,-1.93555164
0.01242029,-1.96936938
0.01252829,-2.00347491
0.01263629,-2.03786812
0.01274429,-2.07254886
0.01285230,-2.10751701
0.01296030,-2.14277243
0.01306830,-2.17831500
0.01317630,-2.21414459
0.01328431,-2.25026106
0.01339231,-2.28666428
0.01350031,-2.32335412
0.01360831,-2.36033046
0.01371632,-2.39759316
0.01382432,-2.43514209
0.01393232,-2.47297711
0.01404032,-2.51109811
0.01414833,-2.54950494
0.01425633,-2.58819748
0.01436433,-2.62717560
0.01447233,-2.66643916
0.01458034,-2.70598803
0.01468834,-2.74582209
0.01479634,-2.78594121
0.01490434,-2.82634524
0.01501235,-2.86703407
0.01512035,-2.90800756
0.01522835,-2.94926558
0.01533635,-2.99080799
0.01544436,-3.03263468
0.01555236,-3.07474550
0.01566036,-3.11714033
0.01576836,-3.15981904
0.01587637,-3.20278149
0.01598437,-3.24602756
0.01609237,-3.28955711
0.01620037,-3.33337001
0.01630838,-3.37746614
0.01641638,-3.42184535
0.01652438,-3.46650753
0.01663238,-3.51145254
0.01674039,-3.55668025
0.01684839,-3.60219052
0.01695639,-3.64798324
0.01706439,-3.69405826
0.01717240,-3.74041545
0.01728040,-3.78705469
0.01738840,-3.83397585
0.01749640,-3.88117879
0.01760441,-3.92866338
0.01771241,-3.97642950
0.01782041,-4.02447701
0.01792841,-4.07280577
0.01803642,-4.12141567
0.01814442,-4.17030657
0.01825242,-4.21947833
0.01836042,-4.26893083
0.01846843,-4.31866394
0.01857643,-4.36867753
0.01868443,-4.41897146
0.01879243,-4.46954561
0.01890044,-4.52039983
0.01900844,-4.57153402
0.01911644,-4.62294802
0.01922444,-4.67464172
0.01933245,-4.72661497
0.01944045,-4.77886766
0.01954845,-4.83139964
0.01965645,-4.88421080
0.01976446,-4.93730099
0.01987246,-4.99067009
0.01998046,-5.04431796
0.02008846,-5.09824448
0.02019647,-5.15244952
0.02030447,-5.20693293
0.02041247,-5.26169460
0.02052047,-5.31673440
0.02062848,-5.37205218
0.02073648,-5.42764783
0.02084448,-5.48352120
0.02095248,-5.53967217
0.02106049,-5.59610062
0.02116849,-5.65280640
0.02127649,-5.70978938
0.02138449,-5.76704944
0.02149250,-5.82458645
0.02160050,-5.88240027
0.02170850,-5.94049078
0.02181650,-5.99885784
0.02192451,-6.05750132
0.02203251,-6.11642109
0.02214051,-6.17561702
0.02224851,-6.23508899
0.02235652,-6.29483685
0.02246452,-6.35486048
0.02257252,-6.41515974
0.02268052,-6.47573452
0.02278853,-6.53658467
0.02289653,-6.59771006
0.02300453,-6.65911057
0.02311253,-6.72078606
0.02322054,-6.78273641
0.02332854,-6.84496148
0.02343654,-6.90746114
0.02354454,-6.97023526
0.02365255,-7.03328371
0.02376055,-7.09660636
0.02386855,-7.16020307
0.02397655,-7.22407373
0.02408456,-7.28821819
0.02419256,-7.35263632
0.02430056,-7.41732801
0.02440856,-7.48229310
0.02451657,-7.54753148
0.02462457,-7.61304302
0.02473257,-7.67882757
0.02484057,-7.74488502
0.02494858,-7.81121522
0.02505658,-7.87781806
0.02516458,-7.94469339
0.02527258,-8.01184110
0.02538059,-8.07926104
0.02548859,-8.14695309
0.02559659,-8.21491711
0.02570459,-8.28315298
0.02581260,-8.35166056
0.02592060,-8.42043973
0.02602860,-8.48949034
0.02613660,-8.55881229
0.02624461,-8.62840542
0.02635261,-8.69826961
0.02646061,-8.76840473
0.02656861,-8.83881065
0.02667662,-8.90948724
0.02678462,-8.98043437
0.02689262,-9.05165190
0.02700062,-9.12313971
0.02710863,-9.19489767
0.02721663,-9.26692563
0.02732463,-9.33922349
0.02743263,-9.41179109
0.02754064,-9.48462832
0.02764864,-9.55773504
0.02775664,-9.63111111
0.02786464,-9.70475642
0.02797265,-9.77867083
0.02808065,-9.85285420
0.02818865,-9.92730642
0.02829665,-10.00202733
0.02840466,-10.07701683
0.02851266,-10.15227477
0.02862066,-10.22780102
0.02872866,-10.30359546
0.02883667,-10.37965795
0.02894467,-10.45598836
0.02905267,-10.53258656
0.02916067,-10.60945243
0.02926868,-10.68658582
0.02937668,-10.76398661
0.02948468,-10.84165467
0.02959268,-10.91958987
0.02970069,-10.99779207
0.02980869,-11.07626115
0.02991669,-11.15499697
0.03002469,-11.23399941
0.03013270,-11.31326833
0.03024070,-11.39280361
0.03034870,-11.47260510
0.03045670,-11.55267269
0.03056471,-11.63300624
0.03067271,-11.71360561
0.03078071,-11.79447069
0.03088871,-11.87560133
0.03099672,-11.95699742
0.03110472,-12.03865880
0.03121272,-12.12058537
0.03132072,-12.20277697
0.03142873,-12.28523350
0.03153673,-12.36795480
0.03164473,-12.45094076
0.03175273,-12.53419124
0.03186073,-12.61770611
0.03196874,-12.70148524
0.03207674,-12.78552850
0.03218474,-12.86983576
0.03229274,-12.95440689
0.03240075,-13.03924176
0.03250875,-13.12434023
0.03261675,-13.20970217
0.03272475,-13.29532747
0.03283276,-13.38121597
0.03294076,-13.46736756
0.03304876,-13.55378210
0.03315676,-13.64045947
0.03326477,-13.72739952
0.03337277,-13.81460214
0.03348077,-13.90206718
0.03358877,-13.98979452
0.03369678,-14.07778403
0.03380478,-14.16603558
0.03391278,-14.25454904
0.03402078,-14.34332427
0.03412879,-14.43236114
0.03423679,-14.52165953
0.03434479,-14.61121930
0.03445279,-14.70104033
0.03456080,-14.79112247
0.03466880,-14.88146561
0.03477680,-14.97206961
0.03488480,-15.06293433
0.03499281,-15.15405966
0.03510081,-15.24544545
0.03520881,-15.33709158
0.03531681,-15.42899792
0.03542482,-15.52116433
0.03553282,-15.61359069
0.03564082,-15.70627686
0.03574882,-15.79922271
0.03585683,-15.89242812
0.03596483,-15.98589295
0.03607283,-16.07961707
0.03618083,-16.17360035
0.03628884,-16.26784266
0.03639684,-16.36234387
0.03650484,-16.45710384
0.03661284,-16.55212245
0.03672085,-16.64739957
0.03682885,-16.74293507
0.03693685,-16.83872881
0.03704485,-16.93478066
0.03715286,-17.03109049
0.03726086,-17.12765818
0.03736886,-17.22448359
0.03747686,-17.32156659
0.03758487,-17.41890706
0.03769287,-17.51650485
0.03780087,-17.61435983
0.03790887,-17.71247189
0.03801688,-17.81084089
0.03812488,-17.90946669
0.03823288,-18.00834916
0.03834088,-18.10748818
0.03844889,-18.20688362
0.03855689,-18.30653533
0.03866489,-18.40644320
0.03877289,-18.50660709
0.03888090,-18.60702688
0.03898890,-18.70770242
0.03909690,-18.80863359
0.03920490,-18.90982026
0.03931291,-19.01126230
0.03942091,-19.11295957
0.03952891,-19.21491195
0.03963691,-19.31711931
0.03974492,-19.41958151
0.03985292,-19.52229843
0.03996092,-19.62526992
0.04006892,-19.72849587
0.04017693,-19.83197615
0.04028493,-19.93571061
0.04039293,-20.03969913
0.04050093,-20.14394158
0.04060894,-20.24843783
0.04071694,-20.35318775
0.04082494,-20.45819121
0.04093294,-20.56344807
0.04104095,-20.66895820
0.04114895,-20.77472149
0.04125695,-20.88073778
0.04136495,-20.98700696
0.04147296,-21.09352889
0.04158096,-21.20030344
0.04168896,-21.30733048
0.04179696,-21.41460989
0.04190497,-21.52214152
0.04201297,-21.62992525
0.04212097,-21.73796095
0.04222897,-21.84624848
0.04233698,-21.95478772
0.04244498,-22.06357854
0.04255298,-22.17262080
0.04266098,-22.28191437
0.04276899,-22.39145913
0.04287699,-22.50125494
0.04298499,-22.61130167
0.04309299,-22.72159919
0.04320100,-22.83214738
0.04330900,-22.94294609
0.04341700,-23.05399520
0.04352500,-23.16529457
0.04363301,-23.27684409
0.04374101,-23.38864361
0.04384901,-23.50069300
0.04395701,-23.61299214
0.04406502,-23.72554090
0.04417302,-23.83833913
0.04428102,-23.95138672
0.04438902,-24.06468353
0.04449703,-24.17822943
0.04460503,-24.29202429
0.04471303,-24.40606798
0.04482103,-24.52036037
0.04492904,-24.63490133
0.04503704,-24.74969072
0.04514504,-24.86472842
0.04525304,-24.98001429
0.04536105,-25.09554821
0.04546905,-25.21133004
0.04557705,-25.32735966
0.04568505,-25.44363692
0.04579306,-25.56016171
0.04590106,-25.67693389
0.04600906,-25.79395333
0.04611706,-25.91121990
0.04622507,-26.02873346
0.04633307,-26.14649390
0.04644107,-26.26450107
0.04654907,-26.38275484
0.04665708,-26.50125510
0.04676508,-26.62000169
0.04687308,-26.73899450
0.04698108,-26.85823339
0.04708909,-26.97771824
0.04719709,-27.09744891
0.04730509,-27.21742526
0.04741309,-27.33764718
0.04752110,-27.45811452
0.04762910,-27.57882717
0.04773710,-27.69978498
0.04784510,-27.82098783
0.04795311,-27.94243558
0.04806111,-28.06412811
0.04816911,-28.18606528
0.04827711,-28.30824697
0.04838512,-28.43067304
0.04849312,-28.55334336
0.04860112,-28.67625781
0.04870912,-28.79941624
0.04881713,-28.92281853
0.04892513,-29.04646456
0.04903313,-29.17035418
0.04914113,-29.29448727
0.04924914,-29.41886369
0.04935714,-29.54348332
0.04946514,-29.66834603
0.04957314,-29.79345168
0.04968115,-29.91880014
0.04978915,-30.04439129
0.04989715,-30.17022499
0.05000515,-30.29630111
0.05011316,-30.42261952
0.05022116,-30.54918009
0.05032916,-30.67598269
0.05043716,-30.80302718
0.05054517,-30.93031345
0.05065317,-31.05784135
0.05076117,-31.18561076
0.05086917,-31.31362154
0.05097718,-31.44187356
0.05108518,-31.57036670
0.05119318,-31.69910083
0.05130118,-31.82807580
0.05140919,-31.95729150
0.05151719,-32.08674778
0.05162519,-32.21644453
0.05173319,-32.34638161
0.05184120,-32.47655888
0.05194920,-32.60697622
0.05205720,-32.73763350
0.05216520,-32.86853058
0.05227321,-32.99966734
0.05238121,-33.13104364
0.05248921,-33.26265935
0.05259721,-33.39451435
0.05270522,-33.52660850
0.05281322,-33.65894167
0.05292122,-33.79151374
0.05302922,-33.92432456
0.05313723,-34.05737401
0.05324523,-34.19066196
0.05335323,-34.32418827
0.05346123,-34.45795282
0.05356924,-34.59195548
0.05367724,-34.72619612
0.05378524,-34.86067459
0.05389324,-34.99539078
0.05400125,-35.13034456
0.05410925,-35.26553578
0.05421725,-35.40096433
0.05432525,-35.53663006
0.05443326,-35.67253286
0.05454126,-35.80867259
0.05464926,-35.94504911
0.05475726,-36.08166230
0.05486527,-36.21851203
0.05497327,-36.35559816
0.05508127,-36.49292057
0.05518927,-36.63047912
0.05529728,-36.76827368
0.05540528,-36.90630413
0.05551328,-37.04457033
0.05562128,-37.18307215
0.05572929,-37.32180946
0.05583729,-37.46078213
0.05594529,-37.59999003
0.05605329,-37.73943303
0.05616130,-37.87911099
0.05626930,-38.01902379
0.05637730,-38.15917130
0.05648530,-38.29955338
0.05659331,-38.44016991
0.05670131,-38.58102075
0.05680931,-38.72210577
0.05691731,-38.86342484
0.05702532,-39.00497784
0.05713332,-39.14676462
0.05724132,-39.28878507
0.05734932,-39.43103904
0.05745733,-39.57352641
0.05756533,-39.71624705
0.05767333,-39.85920082
0.05778133,-40.00238760
0.05788934,-40.14580726
0.05799734,-40.28945966
0.05810534,-40.43334467
0.05821334,-40.57746216
0.05832135,-40.72181201
0.05842935,-40.86639408
0.05853735,-41.01120824
0.05864535,-41.15625435
0.05875336,-41.30153230
0.05886136,-41.44704194
0.05896936,-41.59278315
0.05907736,-41.73875580
0.05918537,-41.88495975
0.05929337,-42.03139488
0.05940137,-42.17806105
0.05950937,-42.32495814
0.05961738,-42.47208601
0.05972538,-42.61944453
0.05983338,-42.76703357
0.05994138,-42.91485300
0.06004939,-43.06290269
0.06015739,-43.21118251
0.06026539,-43.35969232
0.06037339,-43.50843201
0.06048140,-43.65740143
0.06058940,-43.80660045
0.06069740,-43.95602895
0.06080540,-44.10568679
0.06091341,-44.25557385
0.06102141,-44.40568999
0.06112941,-44.55603508
0.06123741,-44.70660900
0.06134542,-44.85741160
0.06145342,-45.00844276
0.06156142,-45.15970235
0.06166942,-45.31119024
0.06177743,-45.46290629
0.06188543,-45.61485039
0.06199343,-45.76702238
0.06210143,-45.91942215
0.06220944,-46.07204957
0.06231744,-46.22490450
0.06242544,-46.37798681
0.06253344,-46.53129637
0.06264145,-46.68483306
0.06274945,-46.83859673
0.06285745,-46.99258727
0.06296545,-47.14680453
0.06307345,-47.30124839
0.06318146,-47.45591871
0.06328946,-47.61081538
0.06339746,-47.76593824
0.06350546,-47.92128719
0.06361347,-48.07686207
0.06372147,-48.23266277
0.06382947,-48.38868916
0.06393747,-48.54494109
0.06404548,-48.70141845
0.06415348,-48.85812109
0.06426148,-49.01504890
0.06436948,-49.17220173
0.06447749,-49.32957946
0.06458549,-49.48718196
0.06469349,-49.64500909
0.06480149,-49.80306073
0.06490950,-49.96133674
0.06501750,-50.11983700
0.06512550,-50.27856137
0.06523350,-50.43750972
0.06534151,-50.59668193
0.06544951,-50.75607785
0.06555751,-50.91569737
0.06566551,-51.07554034
0.06577352,-51.23560665
0.06588152,-51.39589615
0.06598952,-51.55640871
0.06609752,-51.71714422
0.06620553,-51.87810253
0.06631353,-52.03928351
0.06642153,-52.20068704
0.06652953,-52.36231298
0.06663754,-52.52416120
0.06674554,-52.68623158
0.06685354,-52.84852397
0.06696154,-53.01103826
0.06706955,-53.17377430
0.06717755,-53.33673197
0.06728555,-53.49991114
0.06739355,-53.66331168
0.06750156,-53.82693345
0.06760956,-53.99077633
0.06771756,-54.15484018
0.06782556,-54.31912488
0.06793357,-54.48363029
0.06804157,-54.64835628
0.06814957,-54.81330273
0.06825757,-54.97846949
0.06836558,-55.14385645
0.06847358,-55.30946346
0.06858158,-55.47529040
0.06868958,-55.64133714
0.06879759,-55.80760355
0.06890559,-55.97408949
0.06901359,-56.14079484
0.06912159,-56.30771946
0.06922960,-56.47486322
0.06933760,-56.64222600
0.06944560,-56.80980766
0.06955360,-56.97760808
0.06966161,-57.14562711
0.06976961,-57.31386463
0.06987761,-57.48232051
0.06998561,-57.65099462
0.07009362,-57.81988683
0.07020162,-57.98899701
0.07030962,-58.15832502
0.07041762,-58.32787073
0.07052563,-58.49763402
0.07063363,-58.66761476
0.07074163,-58.83781281
0.07084963,-59.00822803
0.07095764,-59.17886031
0.07106564,-59.34970952
0.07117364,-59.52077551
0.07128164,-59.69205816
0.07138965,-59.86355734
0.07149765,-60.03527291
0.07160565,-60.20720475
0.07171365,-60.37935273
0.07182166,-60.55171672
0.07192966,-60.72429657
0.07203766,-60.89709218
0.07214566,-61.07010339
0.07225367,-61.24333009
0.07236167,-61.41677214
0.07246967,-61.59042940
0.07257767,-61.76430176
0.07268568,-61.93838908
0.07279368,-62.11269123
0.07290168,-62.28720807
0.07300968,-62.46193948
0.07311769,-62.63688533
0.07322569,-62.81204548
0.07333369,-62.98741980
0.07344169,-63.16300817
0.07354970,-63.33881045
0.07365770,-63.51482652
0.07376570,-63.69105623
0.07387370,-63.86749947
0.07398171,-64.04415609
0.07408971,-64.22102598
0.07419771,-64.39810899
0.07430571,-64.57540500
0.07441372,-64.75291388
0.07452172,-64.93063549
0.07462972,-65.10856971
0.07473772,-65.28671640
0.07484573,-65.46507543
0.07495373,-65.64364668
0.07506173,-65.82243001
0.07516973,-66.00142529
0.07527774,-66.18063240
0.07538574,-66.36005119
0.07549374,-66.53968154
0.07560174,-66.71952332
0.07570975,-66.89957640
0.07581775,-67.07984064
0.07592575,-67.26031592
0.07603375,-67.44100210
0.07614176,-67.62189906
0.07624976,-67.80300666
0.07635776,-67.98432477
0.07646576,-68.16585327
0.07657377,-68.34759202
0.07668177,-68.52954089
0.07678977,-68.71169974
0.07689777,-68.89406846
0.07700578,-69.07664691
0.07711378,-69.25943495
0.07722178,-69.44243246
0.07732978,-69.62563930
0.07743779,-69.80905535
0.07754579,-69.99268047
0.07765379,-70.17651454
0.07776179,-70.36055742
0.07786980,-70.54480898
0.07797780,-70.72926910
0.07808580,-70.91393763
0.07819380,-71.09881445
0.07830181,-71.28389943
0.07840981,-71.46919244
0.07851781,-71.65469335
0.07862581,-71.84040202
0.07873382,-72.02631833
0.07884182,-72.21244215
0.07894982,-72.39877334
0.07905782,-72.58531177
0.07916583,-72.77205731
0.07927383,-72.95900984
0.07938183,-73.14616922
0.07948983,-73.33353532
0.07959784,-73.52110800
0.07970584,-73.70888715
0.07981384,-73.89687262
0.07992184,-74.08506430
0.08002985,-74.27346203
0.08013785,-74.46206571
0.08024585,-74.65087519
0.08035385,-74.83989034
0.08046186,-75.02911104
0.08056986,-75.21853715
0.08067786,-75.40816854
0.08078586,-75.59800508
0.08089387,-75.78804664
0.08100187,-75.97829309
0.08110987,-76.16874430
0.08121787,-76.35940014
0.08132588,-76.55026048
0.08143388,-76.74132518
0.08154188,-76.93259412
0.08164988,-77.12406716
0.08175789,-77.31574418
0.08186589,-77.50762504
0.08197389,-77.69970961
0.08208189,-77.89199776
0.08218990,-78.08448937
0.08229790,-78.27718430
0.08240590,-78.47008241
0.08251390,-78.66318358
0.08262191,-78.85648769
0.08272991,-79.04999459
0.08283791,-79.24370415
0.08294591,-79.43761625
0.08305392,-79.63173076
0.08316192,-79.82604754
0.08326992,-80.02056646
0.08337792,-80.21528740
0.08348593,-80.41021022
0.08359393,-80.60533478
0.08370193,-80.80066097
0.08380993,-80.99618865
0.08391794,-81.19191769
0.08402594,-81.38784795
0.08413394,-81.58397932
0.08424194,-81.78031164
0.08434995,-81.97684481
0.08445795,-82.17357868
0.08456595,-82.37051312
0.08467395,-82.56764801
0.08478196,-82.76498320
0.08488996,-82.96251858
0.08499796,-83.16025402
0.08510596,-83.35818937
0.08521397,-83.55632451
0.08532197,-83.75465931
0.08542997,-83.95319363
0.08553797,-84.15192736
0.08564598,-84.35086035
0.08575398,-84.54999248
0.08586198,-84.74932361
0.08596998,-84.94885361
0.08607799,-85.14858236
0.08618599,-85.34850972
0.08629399,-85.54863556
0.08640199,-85.74895976
0.08651000,-85.94948217
0.08661800,-86.15020267
0.08672600,-86.35112113
0.08683400,-86.55223742
0.08694201,-86.75355141
0.08705001,-86.95506296
0.08715801,-87.15677195
0.08726601,-87.35867824
0.08737402,-87.56078171
0.08748202,-87.76308222
0.08759002,-87.96557964
0.08769802,-88.16827384
0.08780603,-88.37116470
0.08791403,-88.57425207
0.08802203,-88.77753584
0.08813003,-88.98101586
0.08823804,-89.18469201
0.08834604,-89.38856416
0.08845404,-89.59263217
0.08856204,-89.79689592
0.08867005,-90.00135527
0.08877805,-90.20601010
0.08888605,-90.41086027
0.08899405,-90.61590565
0.08910206,-90.82114612
0.08921006,-91.02658153
0.08931806,-91.23221177
0.08942606,-91.43803669
0.08953407,-91.64405618
0.08964207,-91.85027009
0.08975007,-92.05667830
0.08985807,-92.26328067
0.08996608,-92.47007708
0.09007408,-92.67706739
0.09018208,-92.88425148
0.09029008,-93.09162921
0.09039809,-93.29920046
0.09050609,-93.50696508
0.09061409,-93.71492296
0.09072209,-93.92307395
0.09083010,-94.13141794
0.09093810,-94.33995478
0.09104610,-94.54868435
0.09115410,-94.75760652
0.09126211,-94.96672115
0.09137011,-95.17602812
0.09147811,-95.38552730
0.09158611,-95.59521854
0.09169412,-95.80510173
0.09180212,-96.01517674
0.09191012,-96.22544342
0.09201812,-96.43590166
0.09212613,-96.64655131
0.09223413,-96.85739226
0.09234213,-97.06842436
0.09245013,-97.27964749
0.09255814,-97.49106152
0.09266614,-97.70266631
0.09277414,-97.91446174
0.09288214,-98.12644767
0.09299015,-98.33862398
0.09309815,-98.55099053
0.09320615,-98.76354719
0.09331415,-98.97629384
0.09342216,-99.18923033
0.09353016,-99.40235655
0.09363816,-99.61567235
0.09374616,-99.82917761
0.09385417,-100.04287220
0.09396217,-100.25675599
0.09407017,-100.47082884
0.09417817,-100.68509063
0.09428618,-100.89954122
0.09439418,-101.11418049
0.09450218,-101.32900829
0.09461018,-101.54402452
0.09471818,-101.75922902
0.09482619,-101.97462167
0.09493419,-102.19020234
0.09504219,-102.40597091
0.09515019,-102.62192723
0.09525820,-102.83807117
0.09536620,-103.05440262
0.09547420,-103.27092143
0.09558220,-103.48762748
0.09569021,-103.70452063
0.09579821,-103.92160075
0.09590621,-104.13886772
0.09601421,-104.35632140
0.09612222,-104.57396166
0.09623022,-104.79178837
0.09633822,-105.00980140
0.09644622,-105.22800062
0.09655423,-105.44638590
0.09666223,-105.66495710
0.09677023,-105.88371411
0.09687823,-106.10265677
0.09698624,-106.32178498
0.09709424,-106.54109859
0.09720224,-106.76059747
0.09731024,-106.98028149
0.09741825,-107.20015053
0.09752625,-107.42020445
0.09763425,-107.64044311
0.09774225,-107.86086640
0.09785026,-108.08147418
0.09795826,-108.30226632
0.09806626,-108.52324268
0.09817426,-108.74440314
0.09828227,-108.96574756
0.09839027,-109.18727582
0.09849827,-109.40898779
0.09860627,-109.63088333
0.09871428,-109.85296231
0.09882228,-110.07522460
0.09893028,-110.29767008
0.09903828,-110.52029860
0.09914629,-110.74311005
0.09925429,-110.96610428
0.09936229,-111.18928118
0.09947029,-111.41264060
0.09957830,-111.63618241
0.09968630,-111.85990649
0.09979430,-112.08381271
0.09990230,-112.30790093
0.10001031,-112.53217103
0.10011831,-112.75662287
0.10022631,-112.98125632
0.10033431,-113.20607125
0.10044232,-113.43106753
0.10055032,-113.65624503
0.10065832,-113.88160362
0.10076632,-114.10714317
0.10087433,-114.33286355
0.10098233,-114.55876462
0.10109033,-114.78484626
0.10119833,-115.01110833
0.10130634,-115.23755071
0.10141434,-115.46417326
0.10152234,-115.69097585
0.10163034,-115.91795836
0.10173835,-116.14512065
0.10184635,-116.37246258
0.10195435,-116.59998404
0.10206235,-116.82768489
0.10217036,-117.05556499
0.10227836,-117.28362422
0.10238636,-117.51186245
0.10249436,-117.74027954
0.10260237,-117.96887537
0.10271037,-118.19764980
0.10281837,-118.42660271
0.10292637,-118.65573396
0.10303438,-118.88504342
0.10314238,-119.11453096
0.10325038,-119.34419646
0.10335838,-119.57403977
0.10346639,-119.80406077
0.10357439,-120.03425933
0.10368239,-120.26463532
0.10379039,-120.49518860
0.10389840,-120.72591905
0.10400640,-120.95682653
0.10411440,-121.18791092
0.10422240,-121.41917208
0.10433041,-121.65060988
0.10443841,-121.88222420
0.10454641,-122.11401490
0.10465441,-122.34598184
0.10476242,-122.57812491
0.10487042,-122.81044397
0.10497842,-123.04293888
0.10508642,-123.27560952
0.10519443,-123.50845576
0.10530243,-123.74147746
0.10541043,-123.97467450
0.10551843,-124.20804674
0.10562644,-124.44159406
0.10573444,-124.67531632
0.10584244,-124.90921338
0.10595044,-125.14328514
0.10605845,-125.37753144
0.10616645,-125.61195216
0.10627445,-125.84654717
0.10638245,-126.08131634
0.10649046,-126.31625953
0.10659846,-126.55137662
0.10670646,-126.78666748
0.10681446,-127.02213197
0.10692247,-127.25776997
0.10703047,-127.49358133
0.10713847,-127.72956595
0.10724647,-127.96572367
0.10735448,-128.20205437
0.10746248,-128.43855793
0.10757048,-128.67523420
0.10767848,-128.91208307
0.10778649,-129.14910439
0.10789449,-129.38629804
0.10800249,-129.62366388
0.10811049,-129.86120179
0.10821850,-130.09891164
0.10832650,-130.33679328
0.10843450,-130.57484661
0.10854250,-130.81307147
0.10865051,-131.05146775
0.10875851,-131.29003531
0.10886651,-131.52877401
0.10897451,-131.76768374
0.10908252,-132.00676436
0.10919052,-132.24601573
0.10929852,-132.48543773
0.10940652,-132.72503023
0.10951453,-132.96479309
0.10962253,-133.20472619
0.10973053,-133.44482939
0.10983853,-133.68510256
0.10994654,-133.92554558
0.11005454,-134.16615831
0.11016254,-134.40694062
0.11027054,-134.64789238
0.11037855,-134.88901346
0.11048655,-135.13030373
0.11059455,-135.37176305
0.11070255,-135.61339131
0.11081056,-135.85518836
0.11091856,-136.09715407
0.11102656,-136.33928832
0.11113456,-136.58159098
0.11124257,-136.82406190
0.11135057,-137.06670097
0.11145857,-137.30950805
0.11156657,-137.55248301
0.11167458,-137.79562573
0.11178258,-138.03893606
0.11189058,-138.28241388
0.11199858,-138.52605905
0.11210659,-138.76987146
0.11221459,-139.01385096
0.11232259,-139.25799743
0.11243059,-139.50231073
0.11253860,-139.74679073
0.11264660,-139.99143731
0.11275460,-140.23625033
0.11286260,-140.48122966
0.11297061,-140.72637518
0.11307861,-140.97168674
0.11318661,-141.21716422
0.11329461,-141.46280749
0.11340262,-141.70861642
0.11351062,-141.95459088
0.11361862,-142.20073073
0.11372662,-142.44703585
0.11383463,-142.69350610
0.11394263,-142.94014135
0.11405063,-143.18694148
0.11415863,-143.43390635
0.11426664,-143.68103584
0.11437464,-143.92832980
0.11448264,-144.17578812
0.11459064,-144.42341065
0.11469865,-144.67119727
0.11480665,-144.91914785
0.11491465,-145.16726226
0.11502265,-145.41554036
0.11513066,-145.66398203
0.11523866,-145.91258713
0.11534666,-146.16135553
0.11545466,-146.41028711
0.11556267,-146.65938174
0.11567067,-146.90863927
0.11577867,-147.15805958
0.11588667,-147.40764255
